shipment_id,cost_type,calc_method,rate_ref,cost_amount,currency,load_date,update_date
S000020,Accessorial: TONU,flat,TONU,141.3,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000021,Accessorial: TONU,flat,TONU,178.7,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000022,Base,per-mile,RPM 1.98,336.52,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000022,Fuel,index,DOE 3.89,29.8,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000023,Base,per-mile,RPM 2.63,824.13,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000023,Fuel,index,DOE 4.08,59.3,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000024,Accessorial: TONU,flat,TONU,193.43,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000025,Base,per-mile,RPM 2.12,1738.33,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000025,Fuel,index,DOE 3.98,134.81,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000026,Base,per-mile,RPM 1.93,1380.76,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000026,Fuel,index,DOE 3.92,117.55,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000027,Base,per-mile,RPM 1.86,1411.95,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000027,Fuel,index,DOE 3.83,128.97,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000028,Accessorial: Lumper,flat,LUMPER,311.48,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000028,Base,per-mile,RPM 2.16,906.69,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000028,Fuel,index,DOE 3.87,88.72,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000029,Base,per-mile,RPM 2.70,908.17,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000029,Fuel,index,DOE 3.87,56.35,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000030,Base,per-mile,RPM 2.37,2080.85,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000030,Fuel,index,DOE 3.84,144.21,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000031,Base,per-mile,RPM 1.83,629.78,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000031,Fuel,index,DOE 3.94,65.44,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000032,Base,per-mile,RPM 1.74,1279.72,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000032,Fuel,index,DOE 3.82,125.04,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000033,Base,per-mile,RPM 2.71,598.84,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000033,Fuel,index,DOE 3.90,35.1,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000034,Base,per-mile,RPM 1.84,1204.72,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000034,Fuel,index,DOE 3.94,130.39,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000035,Base,per-mile,RPM 1.62,2380.48,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000035,Fuel,index,DOE 3.92,261.36,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000036,Base,per-mile,RPM 2.41,3479.64,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000036,Fuel,index,DOE 3.84,259.95,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000037,Base,per-mile,RPM 2.35,1881.61,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000037,Fuel,index,DOE 3.94,139.95,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000038,Base,per-mile,RPM 2.30,2529.06,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000038,Fuel,index,DOE 3.87,172.11,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000039,Base,per-mile,RPM 1.83,1181.31,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000039,Fuel,index,DOE 3.89,106.5,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000040,Base,per-mile,RPM 1.75,792.05,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000040,Fuel,index,DOE 4.08,88.48,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000041,Base,per-mile,RPM 2.35,1783.61,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000041,Fuel,index,DOE 3.86,132.34,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000042,Base,per-mile,RPM 1.73,2866.32,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000042,Fuel,index,DOE 3.94,283.99,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000043,Base,per-mile,RPM 2.41,1977.2,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000043,Fuel,index,DOE 3.94,132.72,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000044,Base,per-mile,RPM 2.12,1789.8,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000044,Fuel,index,DOE 3.92,147.79,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000045,Base,per-mile,RPM 2.26,4017.06,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000045,Fuel,index,DOE 3.94,324.27,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000046,Base,per-mile,RPM 1.81,3061.48,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000046,Fuel,index,DOE 3.90,294.19,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000047,Base,per-mile,RPM 2.19,1125.87,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000047,Fuel,index,DOE 3.90,100.42,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000048,Accessorial: Detention,flat,DETENTION,173.95,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000048,Base,per-mile,RPM 2.60,795.51,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000048,Fuel,index,DOE 3.87,53.16,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000049,Base,per-mile,RPM 2.38,958.88,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000049,Fuel,index,DOE 3.94,72.98,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000050,Accessorial: TONU,flat,TONU,146.14,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000051,Base,per-mile,RPM 2.33,2420.56,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000051,Fuel,index,DOE 3.89,226.14,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000052,Base,per-mile,RPM 2.39,987.25,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000052,Fuel,index,DOE 3.94,73.37,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000053,Base,per-mile,RPM 2.17,1833.41,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000053,Fuel,index,DOE 3.89,165.48,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000054,Accessorial: Detention,flat,DETENTION,309.37,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000054,Base,per-mile,RPM 2.52,423.27,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000054,Fuel,index,DOE 3.94,32.55,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000055,Base,per-mile,RPM 2.15,927.86,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000055,Fuel,index,DOE 3.92,85.63,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000056,Base,per-mile,RPM 1.71,2449.2,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000056,Fuel,index,DOE 3.82,264.05,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000057,Base,per-mile,RPM 2.36,1734.35,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000057,Fuel,index,DOE 3.83,106.44,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000058,Base,per-mile,RPM 2.10,877.93,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000058,Fuel,index,DOE 3.85,84.64,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000059,Base,per-mile,RPM 2.29,1117.07,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000059,Fuel,index,DOE 3.82,95.75,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000060,Base,per-mile,RPM 2.52,687.8,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000060,Fuel,index,DOE 3.87,46.08,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000061,Base,per-mile,RPM 2.19,1947.23,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000061,Fuel,index,DOE 3.87,174.01,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000062,Base,per-mile,RPM 2.13,1369.27,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000062,Fuel,index,DOE 3.94,125.0,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000063,Base,per-mile,RPM 2.25,1870.14,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000063,Fuel,index,DOE 3.85,153.91,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000064,Base,per-mile,RPM 2.19,1942.37,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000064,Fuel,index,DOE 3.85,144.73,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000065,Base,per-mile,RPM 1.92,483.49,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000065,Fuel,index,DOE 3.89,51.23,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000066,Base,per-mile,RPM 1.95,335.54,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000066,Fuel,index,DOE 3.87,29.91,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000067,Base,per-mile,RPM 2.36,951.8,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000067,Fuel,index,DOE 3.87,74.47,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000068,Accessorial: Detention,flat,DETENTION,121.91,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000068,Base,per-mile,RPM 2.32,1862.77,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000068,Fuel,index,DOE 3.85,124.8,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000069,Accessorial: Layover,flat,LAYOVER,274.92,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000069,Base,per-mile,RPM 2.39,698.65,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000069,Fuel,index,DOE 3.98,62.55,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000070,Base,per-mile,RPM 2.42,459.31,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000070,Fuel,index,DOE 3.87,28.8,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000071,Base,per-mile,RPM 1.96,1993.66,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000071,Fuel,index,DOE 3.94,183.44,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000072,Base,per-mile,RPM 1.82,775.54,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000072,Fuel,index,DOE 3.89,69.31,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000073,Base,per-mile,RPM 2.74,849.04,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000073,Fuel,index,DOE 3.94,67.56,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000074,Base,per-mile,RPM 2.30,2263.15,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000074,Fuel,index,DOE 3.89,155.72,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000075,Base,per-mile,RPM 2.15,3413.5,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000075,Fuel,index,DOE 3.90,310.82,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000076,Base,per-mile,RPM 2.18,1828.92,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000076,Fuel,index,DOE 3.82,128.66,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000077,Base,per-mile,RPM 2.21,1509.82,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000077,Fuel,index,DOE 3.94,132.57,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000078,Base,per-mile,RPM 2.41,1846.69,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000078,Fuel,index,DOE 3.77,140.54,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000079,Base,per-mile,RPM 2.09,3188.47,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000079,Fuel,index,DOE 3.94,246.46,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000080,Base,per-mile,RPM 1.72,2259.91,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000080,Fuel,index,DOE 3.82,226.27,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000081,Base,per-mile,RPM 1.76,644.1,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000081,Fuel,index,DOE 3.98,79.67,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000082,Base,per-mile,RPM 2.29,1837.94,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000082,Fuel,index,DOE 3.77,123.94,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000083,Base,per-mile,RPM 1.97,3730.7,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000083,Fuel,index,DOE 3.94,360.5,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000084,Base,per-mile,RPM 1.98,2290.77,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000084,Fuel,index,DOE 3.85,184.62,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000085,Accessorial: TONU,flat,TONU,101.46,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000086,Accessorial: TONU,flat,TONU,102.55,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000087,Base,per-mile,RPM 2.09,707.68,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000087,Fuel,index,DOE 3.86,55.0,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000088,Accessorial: TONU,flat,TONU,148.76,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000089,Base,per-mile,RPM 2.36,1480.64,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000089,Fuel,index,DOE 3.87,98.01,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000090,Base,per-mile,RPM 1.84,1269.25,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000090,Fuel,index,DOE 3.94,129.62,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000091,Base,per-mile,RPM 2.31,1919.66,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000091,Fuel,index,DOE 3.87,159.56,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000092,Accessorial: TONU,flat,TONU,193.13,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000093,Base,per-mile,RPM 2.62,611.04,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000093,Fuel,index,DOE 3.84,39.4,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000094,Base,per-mile,RPM 1.79,2099.01,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000094,Fuel,index,DOE 3.89,214.96,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000095,Base,per-mile,RPM 1.86,1393.01,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000095,Fuel,index,DOE 3.89,135.63,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000096,Base,per-mile,RPM 2.72,944.16,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000096,Fuel,index,DOE 3.94,64.84,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000097,Base,per-mile,RPM 1.73,2785.31,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000097,Fuel,index,DOE 3.96,283.94,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000098,Base,per-mile,RPM 2.11,1522.24,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000098,Fuel,index,DOE 3.92,127.26,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000099,Base,per-mile,RPM 2.15,1259.43,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000099,Fuel,index,DOE 3.87,112.34,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000100,Base,per-mile,RPM 2.35,3369.46,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000100,Fuel,index,DOE 4.08,302.21,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000101,Base,per-mile,RPM 2.05,762.6,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000101,Fuel,index,DOE 3.94,74.05,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000102,Accessorial: Detention,flat,DETENTION,161.99,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000102,Base,per-mile,RPM 2.21,2356.01,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000102,Fuel,index,DOE 3.84,225.18,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000103,Accessorial: TONU,flat,TONU,75.74,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000104,Base,per-mile,RPM 1.55,1164.44,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000104,Fuel,index,DOE 3.83,118.79,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
