shipment_id,leg_id,customer_id,carrier_id,equipment_id,origin_loc_id,dest_loc_id,lane_id,tender_ts,pickup_plan_ts,pickup_actual_ts,delivery_plan_ts,delivery_actual_ts,planned_miles,actual_miles,pieces,weight_lbs,cube,revenue,total_cost,fuel_surcharge,accessorial_cost,status,isdeliveredontime,isinfull,isotif,cancel_flag,load_date,update_date
S000013,1,11,13,3,21,54,83,2024-02-02T16:59:00+00:00,2024-02-03T09:59:00+00:00,2024-02-03T09:59:00+00:00,2024-02-05T13:59:00+00:00,2024-02-05T17:59:00+00:00,344.24,358.55,5,16290.41,2519.07,1310.92,1010.25,47.21,334.61,Delivered,False,False,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000014,1,10,1,3,1,30,7,2024-03-28T07:03:00+00:00,2024-03-28T18:03:00+00:00,2024-03-28T19:03:00+00:00,2024-04-02T00:03:00+00:00,2024-04-01T23:03:00+00:00,1248.46,1295.39,8,13437.9,3014.99,3138.63,2457.16,176.03,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000015,1,6,14,3,17,54,69,2024-05-20T11:26:00+00:00,2024-05-20T16:26:00+00:00,2024-05-20T18:26:00+00:00,2024-05-24T00:26:00+00:00,2024-05-24T03:26:00+00:00,786.49,803.91,18,32593.67,1613.75,1938.89,1651.75,108.73,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000016,1,1,12,3,37,50,138,2024-04-28T10:41:00+00:00,2024-04-28T18:41:00+00:00,2024-04-28T18:41:00+00:00,2024-05-01T23:41:00+00:00,2024-05-01T22:41:00+00:00,990.69,993.03,16,38497.5,510.61,1898.81,1564.37,138.35,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000017,1,6,11,2,49,10,171,2024-02-29T03:23:00+00:00,2024-02-29T12:23:00+00:00,2024-02-29T12:23:00+00:00,2024-03-01T16:23:00+00:00,2024-03-03T05:23:00+00:00,223.43,221.62,19,5604.75,2529.11,568.42,486.73,30.4,0.0,Exception,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000018,1,14,12,2,49,34,177,2024-03-08T23:45:00+00:00,2024-03-09T09:45:00+00:00,2024-03-09T09:45:00+00:00,2024-03-13T14:45:00+00:00,2024-03-13T20:45:00+00:00,1916.91,1898.15,10,42961.58,862.43,3984.77,3049.44,264.05,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000019,1,15,14,2,33,46,123,2024-05-16T12:00:00+00:00,2024-05-17T07:00:00+00:00,2024-05-17T09:00:00+00:00,2024-05-21T11:00:00+00:00,2024-05-21T14:00:00+00:00,1540.91,1564.51,13,13659.07,1411.7,3469.59,3014.97,212.11,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000020,1,12,2,3,1,38,9,2024-04-18T13:32:00+00:00,2024-04-19T08:32:00+00:00,,2024-04-22T08:32:00+00:00,,601.95,0.0,15,6238.5,1144.74,0.0,0.0,0.0,0.0,Cancelled,False,False,False,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000021,1,5,4,2,1,38,9,2024-02-24T19:47:00+00:00,2024-02-25T10:47:00+00:00,,2024-02-27T10:47:00+00:00,,599.76,0.0,10,39771.48,958.1,0.0,0.0,0.0,0.0,Cancelled,False,False,False,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000022,1,9,8,2,53,26,189,2024-05-11T05:48:00+00:00,2024-05-11T13:48:00+00:00,2024-05-11T15:48:00+00:00,2024-05-12T14:48:00+00:00,2024-05-13T08:48:00+00:00,196.76,204.47,5,5878.96,372.84,416.64,366.32,27.45,0.0,Exception,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000023,1,10,3,1,45,26,161,2024-01-01T17:57:00+00:00,2024-01-02T15:57:00+00:00,2024-01-02T18:57:00+00:00,2024-01-04T18:57:00+00:00,2024-01-05T07:57:00+00:00,383.57,401.44,11,7189.23,329.67,1065.64,883.43,57.23,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000024,1,23,10,2,37,30,134,2024-04-12T02:00:00+00:00,2024-04-12T16:00:00+00:00,,2024-04-16T16:00:00+00:00,,1723.33,0.0,21,27572.87,1613.2,0.0,0.0,0.0,0.0,Cancelled,False,False,False,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000025,1,24,14,3,5,50,26,2024-01-12T05:41:00+00:00,2024-01-12T18:41:00+00:00,2024-01-12T18:41:00+00:00,2024-01-16T01:41:00+00:00,2024-01-16T06:41:00+00:00,979.99,994.06,14,32511.18,3229.86,2217.47,1873.14,140.87,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000026,1,22,10,2,41,10,143,2024-04-29T19:12:00+00:00,2024-04-30T14:12:00+00:00,2024-04-30T16:12:00+00:00,2024-05-03T19:12:00+00:00,2024-05-04T02:12:00+00:00,918.39,941.66,23,7245.53,1758.86,1901.02,1498.31,129.45,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000027,1,21,10,1,17,26,62,2024-03-23T05:30:00+00:00,2024-03-23T18:30:00+00:00,2024-03-23T19:30:00+00:00,2024-03-26T22:30:00+00:00,2024-03-26T18:30:00+00:00,963.32,983.54,17,1207.69,2604.78,1922.06,1540.92,131.25,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000028,1,15,3,1,49,46,180,2024-02-18T23:56:00+00:00,2024-02-19T12:56:00+00:00,2024-02-19T14:56:00+00:00,2024-02-22T20:56:00+00:00,2024-02-22T14:56:00+00:00,635.94,630.87,16,20517.09,1447.57,1773.22,1306.89,88.11,311.48,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000029,1,22,15,3,45,6,156,2024-05-22T23:23:00+00:00,2024-05-23T15:23:00+00:00,2024-05-23T15:23:00+00:00,2024-05-25T18:23:00+00:00,2024-05-25T21:23:00+00:00,412.87,426.86,5,21118.53,125.27,1170.59,964.52,57.08,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000030,1,6,14,3,41,46,151,2024-01-28T19:01:00+00:00,2024-01-29T13:01:00+00:00,2024-01-29T14:01:00+00:00,2024-02-02T20:01:00+00:00,2024-02-03T20:01:00+00:00,1097.44,1080.15,1,18857.2,1139.68,2751.44,2225.06,150.51,0.0,Exception,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000031,1,3,5,3,25,10,87,2024-06-10T13:39:00+00:00,2024-06-11T13:39:00+00:00,2024-06-11T15:39:00+00:00,2024-06-14T14:39:00+00:00,2024-06-15T02:39:00+00:00,425.42,425.65,23,17481.15,1488.17,838.02,695.22,60.35,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000032,1,22,10,2,49,6,170,2024-03-01T22:39:00+00:00,2024-03-02T08:39:00+00:00,2024-03-02T08:39:00+00:00,2024-03-05T16:39:00+00:00,2024-03-05T18:39:00+00:00,975.8,974.1,22,7399.34,2906.42,1827.72,1404.76,132.76,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000033,1,17,1,1,21,6,72,2024-06-22T12:07:00+00:00,2024-06-23T09:07:00+00:00,2024-06-23T10:07:00+00:00,2024-06-24T15:07:00+00:00,2024-06-24T13:07:00+00:00,272.27,285.17,4,42897.7,2746.7,776.24,633.94,38.12,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000034,1,20,12,1,49,30,176,2024-04-03T07:10:00+00:00,2024-04-04T07:10:00+00:00,2024-04-04T07:10:00+00:00,2024-04-07T13:10:00+00:00,2024-04-07T18:10:00+00:00,863.45,871.31,1,11171.25,2841.55,1715.64,1335.11,122.57,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000035,1,11,5,1,5,14,17,2024-04-13T03:26:00+00:00,2024-04-13T18:26:00+00:00,2024-04-13T18:26:00+00:00,2024-04-19T01:26:00+00:00,2024-04-19T04:26:00+00:00,1752.97,1812.41,23,35571.74,3305.57,3084.88,2641.84,246.82,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000036,1,3,6,2,57,42,207,2024-02-02T01:25:00+00:00,2024-02-02T06:25:00+00:00,2024-02-02T06:25:00+00:00,2024-02-06T07:25:00+00:00,2024-02-06T22:25:00+00:00,1763.64,1729.34,9,39659.07,2155.88,4494.02,3739.59,241.88,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000037,1,5,11,2,37,50,138,2024-06-25T16:50:00+00:00,2024-06-26T15:50:00+00:00,2024-06-26T15:50:00+00:00,2024-06-30T21:50:00+00:00,2024-07-01T03:50:00+00:00,1008.13,1026.13,7,4537.65,1953.66,2508.17,2021.56,143.1,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000038,1,17,6,3,9,18,32,2024-05-22T20:34:00+00:00,2024-05-23T18:34:00+00:00,2024-05-23T20:34:00+00:00,2024-05-27T20:34:00+00:00,2024-05-28T01:34:00+00:00,1345.86,1411.55,24,43521.5,2001.31,3277.51,2701.17,186.07,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000039,1,21,10,3,13,30,49,2024-06-08T18:50:00+00:00,2024-06-09T16:50:00+00:00,2024-06-09T18:50:00+00:00,2024-06-12T20:50:00+00:00,2024-06-13T03:50:00+00:00,830.67,840.0,12,29941.78,1439.5,1638.58,1287.81,115.96,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000040,1,18,8,2,53,10,185,2024-01-06T22:27:00+00:00,2024-01-07T16:27:00+00:00,2024-01-07T18:27:00+00:00,2024-01-10T19:27:00+00:00,2024-01-11T06:27:00+00:00,629.13,658.12,12,40593.83,459.74,1191.7,880.53,93.87,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000041,1,14,2,2,33,30,120,2024-06-01T17:07:00+00:00,2024-06-02T08:07:00+00:00,2024-06-02T09:07:00+00:00,2024-06-06T13:07:00+00:00,2024-06-06T09:07:00+00:00,1002.01,1020.37,3,38363.55,1490.63,2492.05,1915.95,138.33,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000042,1,19,5,2,53,34,191,2024-06-11T14:53:00+00:00,2024-06-12T13:53:00+00:00,2024-06-12T16:53:00+00:00,2024-06-17T21:53:00+00:00,2024-06-17T16:53:00+00:00,2038.91,2004.67,22,39216.88,2588.9,3812.46,3150.31,289.22,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000043,1,21,2,1,41,50,152,2024-04-02T05:49:00+00:00,2024-04-02T18:49:00+00:00,2024-04-02T21:49:00+00:00,2024-04-06T20:49:00+00:00,2024-04-06T22:49:00+00:00,1034.56,1033.78,7,11169.97,2484.38,2636.01,2109.92,146.86,0.0,Delivered,False,False,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000044,1,19,7,3,37,10,129,2024-03-26T02:31:00+00:00,2024-03-26T06:31:00+00:00,2024-03-26T06:31:00+00:00,2024-03-30T13:31:00+00:00,2024-03-30T09:31:00+00:00,1119.25,1128.77,6,3062.75,3365.88,2530.62,1937.59,157.81,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000045,1,6,1,1,17,34,64,2024-06-29T18:26:00+00:00,2024-06-30T08:26:00+00:00,2024-06-30T08:26:00+00:00,2024-07-04T12:26:00+00:00,2024-07-04T22:26:00+00:00,2370.54,2327.93,21,10667.71,3107.24,5689.18,4341.33,336.5,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000046,1,9,9,3,41,18,145,2024-01-28T06:41:00+00:00,2024-01-28T14:41:00+00:00,2024-01-28T16:41:00+00:00,2024-02-01T16:41:00+00:00,2024-02-01T19:41:00+00:00,2133.95,2212.66,20,13082.35,3403.68,4163.33,3355.67,298.75,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000047,1,1,1,2,17,6,58,2024-01-22T01:24:00+00:00,2024-01-22T16:24:00+00:00,2024-01-22T19:24:00+00:00,2024-01-25T21:24:00+00:00,2024-01-25T18:24:00+00:00,709.28,720.16,11,38951.03,3311.66,1651.91,1226.29,99.3,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000048,1,21,4,3,25,46,95,2024-02-25T01:21:00+00:00,2024-02-25T11:21:00+00:00,2024-02-25T12:21:00+00:00,2024-02-27T12:21:00+00:00,2024-02-27T10:21:00+00:00,368.65,378.03,3,23931.25,3129.37,1184.63,1022.62,51.08,173.95,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000049,1,22,7,1,21,18,75,2024-06-09T23:22:00+00:00,2024-06-10T15:22:00+00:00,2024-06-10T15:22:00+00:00,2024-06-12T16:22:00+00:00,2024-06-13T01:22:00+00:00,493.83,505.57,23,10119.92,3431.41,1244.87,1031.86,70.05,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000050,1,12,1,2,53,38,192,2024-04-07T23:00:00+00:00,2024-04-08T09:00:00+00:00,,2024-04-11T09:00:00+00:00,,841.41,0.0,21,17729.75,3051.21,0.0,0.0,0.0,0.0,Cancelled,False,False,False,True,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000051,1,16,3,1,41,6,142,2024-04-26T18:38:00+00:00,2024-04-27T16:38:00+00:00,2024-04-27T16:38:00+00:00,2024-05-01T18:38:00+00:00,2024-05-02T08:38:00+00:00,1480.25,1542.15,1,41298.23,2261.33,3657.18,2646.7,206.72,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000052,1,21,1,2,25,22,90,2024-06-27T14:07:00+00:00,2024-06-28T10:07:00+00:00,2024-06-28T13:07:00+00:00,2024-06-30T11:07:00+00:00,2024-06-30T20:07:00+00:00,534.56,532.31,23,18936.18,306.82,1355.08,1060.62,75.88,0.0,Delivered,False,False,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000053,1,8,3,2,17,46,67,2024-06-04T12:01:00+00:00,2024-06-05T07:01:00+00:00,2024-06-05T10:01:00+00:00,2024-06-09T13:01:00+00:00,2024-06-09T20:01:00+00:00,1119.57,1146.19,19,5929.95,3412.11,2584.64,1998.89,156.29,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000054,1,2,6,3,1,58,14,2024-06-28T13:28:00+00:00,2024-06-28T18:28:00+00:00,2024-06-28T20:28:00+00:00,2024-06-29T20:28:00+00:00,2024-07-01T12:28:00+00:00,223.73,233.94,1,20252.34,1182.27,904.48,765.19,31.76,309.37,Exception,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000055,1,7,2,1,37,2,127,2024-03-29T08:53:00+00:00,2024-03-29T18:53:00+00:00,2024-03-29T21:53:00+00:00,2024-03-31T23:53:00+00:00,2024-04-01T10:53:00+00:00,597.2,622.26,5,6912.29,1114.93,1368.79,1013.49,84.21,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000056,1,11,5,1,29,38,107,2024-03-02T21:03:00+00:00,2024-03-03T08:03:00+00:00,2024-03-03T08:03:00+00:00,2024-03-08T15:03:00+00:00,2024-03-08T13:03:00+00:00,1770.23,1804.97,11,27300.49,1494.5,3264.39,2713.25,240.84,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000057,1,6,2,1,29,14,102,2024-03-23T05:14:00+00:00,2024-03-23T16:14:00+00:00,2024-03-23T16:14:00+00:00,2024-03-27T00:14:00+00:00,2024-03-26T21:14:00+00:00,866.73,883.05,5,13140.07,720.69,2160.11,1840.79,118.09,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000058,1,19,14,2,1,38,9,2024-02-17T00:18:00+00:00,2024-02-17T09:18:00+00:00,2024-02-17T09:18:00+00:00,2024-02-19T15:18:00+00:00,2024-02-19T13:18:00+00:00,595.59,592.44,15,10946.52,2842.73,1330.69,962.57,81.74,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000059,1,22,3,3,57,38,206,2024-02-29T06:56:00+00:00,2024-02-29T12:56:00+00:00,2024-02-29T12:56:00+00:00,2024-03-03T16:56:00+00:00,2024-03-03T18:56:00+00:00,687.84,689.86,2,27881.47,1016.25,1667.36,1212.82,93.58,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000060,1,5,13,3,53,22,188,2024-05-25T12:50:00+00:00,2024-05-26T07:50:00+00:00,2024-05-26T07:50:00+00:00,2024-05-28T10:50:00+00:00,2024-05-28T21:50:00+00:00,331.65,338.51,21,40571.56,2064.74,879.95,733.88,45.85,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000061,1,2,4,1,25,42,94,2024-05-20T16:19:00+00:00,2024-05-21T09:19:00+00:00,2024-05-21T09:19:00+00:00,2024-05-25T15:19:00+00:00,2024-05-25T08:19:00+00:00,1255.55,1268.45,12,35495.94,1143.72,2919.47,2121.24,173.58,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000062,1,13,1,2,13,30,49,2024-04-02T05:57:00+00:00,2024-04-02T11:57:00+00:00,2024-04-02T14:57:00+00:00,2024-04-05T13:57:00+00:00,2024-04-05T14:57:00+00:00,850.78,879.53,9,8792.95,2133.92,1932.08,1494.27,120.77,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000063,1,5,15,3,45,18,159,2024-05-14T17:49:00+00:00,2024-05-15T06:49:00+00:00,2024-05-15T08:49:00+00:00,2024-05-19T13:49:00+00:00,2024-05-19T04:49:00+00:00,1141.49,1159.88,18,33456.53,2542.66,2720.92,2024.05,157.13,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000064,1,15,6,1,17,46,67,2024-02-16T01:44:00+00:00,2024-02-16T18:44:00+00:00,2024-02-16T21:44:00+00:00,2024-02-20T19:44:00+00:00,2024-02-20T21:44:00+00:00,1086.03,1121.53,23,23885.77,1174.97,2528.55,2087.1,149.06,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000065,1,1,9,1,53,58,196,2024-05-08T11:36:00+00:00,2024-05-09T11:36:00+00:00,2024-05-09T14:36:00+00:00,2024-05-11T18:36:00+00:00,2024-05-12T02:36:00+00:00,336.21,331.94,18,8227.17,2901.34,692.09,534.72,46.9,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000066,1,20,8,1,9,50,40,2024-05-22T02:18:00+00:00,2024-05-22T12:18:00+00:00,2024-05-22T15:18:00+00:00,2024-05-23T14:18:00+00:00,2024-05-23T14:18:00+00:00,234.64,231.08,7,6152.05,759.59,490.46,365.45,32.44,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000067,1,14,13,3,25,58,98,2024-05-23T00:37:00+00:00,2024-05-23T10:37:00+00:00,2024-05-23T12:37:00+00:00,2024-05-25T15:37:00+00:00,2024-05-25T12:37:00+00:00,531.26,522.09,3,13024.16,3089.43,1328.29,1026.27,73.45,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000068,1,15,6,3,49,6,170,2024-03-08T09:54:00+00:00,2024-03-08T18:54:00+00:00,2024-03-08T21:54:00+00:00,2024-03-12T01:54:00+00:00,2024-03-12T02:54:00+00:00,948.86,934.32,24,31924.81,799.53,2454.92,2109.48,130.71,121.91,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000069,1,16,7,3,5,46,25,2024-01-07T22:06:00+00:00,2024-01-08T18:06:00+00:00,2024-01-08T18:06:00+00:00,2024-01-11T01:06:00+00:00,2024-01-11T06:06:00+00:00,414.78,413.76,23,40395.46,1178.53,1326.69,1036.12,59.62,274.92,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000070,1,24,7,2,1,58,14,2024-02-21T15:45:00+00:00,2024-02-22T09:45:00+00:00,2024-02-22T09:45:00+00:00,2024-02-23T12:45:00+00:00,2024-02-25T01:45:00+00:00,230.39,234.37,15,30808.29,2935.93,589.92,488.11,31.92,0.0,Exception,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
