lane_id,origin_loc_id,dest_loc_id,standard_miles,std_transit_days,load_date,update_date
51,13,38,2335.7,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
52,13,42,356.86,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
53,13,46,1354.35,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
54,13,50,1370.99,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
55,13,54,1776.64,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
56,13,58,2115.06,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
57,17,2,745.82,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
58,17,6,711.01,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
59,17,10,1370.6,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
60,17,14,2445.61,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
61,17,22,476.26,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
62,17,26,953.2,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
63,17,30,1627.42,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
64,17,34,2401.98,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
65,17,38,1092.34,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
66,17,42,2139.85,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
67,17,46,1093.52,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
68,17,50,1417.53,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
69,17,54,758.53,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
70,17,58,530.99,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
71,21,2,436.01,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
72,21,6,275.58,1,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
73,21,10,912.54,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
74,21,14,1973.66,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
75,21,18,476.26,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
76,21,26,509.27,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
77,21,30,1163.65,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
78,21,34,2008.4,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
79,21,38,994.42,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
80,21,42,1664.01,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
81,21,46,619.49,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
82,21,50,992.37,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
83,21,54,333.44,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
84,21,58,347.7,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
85,25,2,336.68,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
86,25,6,482.93,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
87,25,10,419.91,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
88,25,14,1599.99,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
89,25,18,953.2,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
90,25,22,509.27,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
91,25,30,877.47,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
92,25,34,1863.5,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
93,25,38,873.9,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
94,25,42,1260.08,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
95,25,46,369.68,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
96,25,50,484.43,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
97,25,54,196.35,1,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
98,25,58,519.69,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
99,29,2,1210.03,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
100,29,6,918.24,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
101,29,10,662.6,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
102,29,14,829.89,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
103,29,18,1627.42,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
104,29,22,1163.65,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
105,29,26,877.47,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
106,29,34,1019.53,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
107,29,38,1725.31,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
108,29,42,585.57,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
109,29,46,557.2,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
110,29,50,878.44,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
111,29,54,1020.43,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
112,29,58,1355.66,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
113,33,2,2178.35,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
114,33,6,1732.97,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
115,33,10,1679.81,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
116,33,14,960.21,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
117,33,18,2401.98,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
118,33,22,2008.4,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
119,33,26,1863.5,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
120,33,30,1019.53,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
121,33,38,2731.7,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
122,33,42,1114.5,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
123,33,46,1502.88,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
124,33,50,1889.34,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
125,33,54,1970.54,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
126,33,58,2280.93,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
127,37,2,606.46,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
128,37,6,1191.41,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
129,37,10,1110.23,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
130,37,14,2335.7,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
131,37,18,1092.34,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
132,37,22,994.42,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
133,37,26,873.9,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
134,37,30,1725.31,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
135,37,34,2731.7,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
136,37,42,1978.93,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
137,37,46,1243.04,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
138,37,50,967.37,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
139,37,54,817.31,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
140,37,58,655.19,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
141,41,2,1588.67,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
142,41,6,1451.8,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
143,41,10,884.56,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
144,41,14,356.86,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
145,41,18,2139.85,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
146,41,22,1664.01,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
147,41,26,1260.08,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
148,41,30,585.57,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
149,41,34,1114.5,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
150,41,38,1978.93,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
151,41,46,1047.7,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
152,41,50,1014.24,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
153,41,54,1443.01,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
154,41,58,1778.75,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
155,45,2,675.78,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
156,45,6,412.38,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
157,45,10,454.13,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
158,45,14,1354.35,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
159,45,18,1093.52,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
160,45,22,619.49,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
161,45,26,369.68,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
162,45,30,557.2,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
163,45,34,1502.88,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
164,45,38,1243.04,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
165,45,42,1047.7,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
166,45,50,646.83,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
167,45,54,472.23,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
168,45,58,801.21,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
169,49,2,701.05,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
170,49,6,941.91,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
171,49,10,224.8,1,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
172,49,14,1370.99,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
173,49,18,1417.53,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
174,49,22,992.37,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
175,49,26,484.43,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
176,49,30,878.44,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
177,49,34,1889.34,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
178,49,38,967.37,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
179,49,42,1014.24,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
180,49,46,646.83,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
181,49,54,665.45,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
182,49,58,925.74,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
183,53,2,214.83,1,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
184,53,6,397.55,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
185,53,10,616.25,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
186,53,14,1776.64,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
187,53,18,758.53,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
188,53,22,333.44,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
189,53,26,196.35,1,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
190,53,30,1020.43,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
191,53,34,1970.54,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
192,53,38,817.31,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
193,53,42,1443.01,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
194,53,46,472.23,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
195,53,50,665.45,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
196,53,58,339.35,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
197,57,2,226.23,1,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
198,57,6,587.48,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
199,57,10,928.34,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
200,57,14,2115.06,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
201,57,18,530.99,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
202,57,22,347.7,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
203,57,26,519.69,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
204,57,30,1355.66,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
205,57,34,2280.93,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
206,57,38,655.19,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
207,57,42,1778.75,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
208,57,46,801.21,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
209,57,50,925.74,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
210,57,54,339.35,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
