loc_id,name,city,state,country,timezone,type,load_date,update_date
35,Seattle Terminal,Seattle,WA,USA,America/Los_Angeles,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
36,Seattle DC,Seattle,WA,USA,America/Los_Angeles,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
37,Miami Origin,Miami,FL,USA,America/New_York,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
38,Miami Dest,Miami,FL,USA,America/New_York,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
39,Miami Terminal,Miami,FL,USA,America/New_York,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
40,Miami DC,Miami,FL,USA,America/New_York,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
41,Phoenix Origin,Phoenix,AZ,USA,America/Phoenix,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
42,Phoenix Dest,Phoenix,AZ,USA,America/Phoenix,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
43,Phoenix Terminal,Phoenix,AZ,USA,America/Phoenix,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
44,Phoenix DC,Phoenix,AZ,USA,America/Phoenix,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
45,Kansas City Origin,Kansas City,MO,USA,America/Chicago,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
46,Kansas City Dest,Kansas City,MO,USA,America/Chicago,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
47,Kansas City Terminal,Kansas City,MO,USA,America/Chicago,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
48,Kansas City DC,Kansas City,MO,USA,America/Chicago,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
49,Houston Origin,Houston,TX,USA,America/Chicago,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
50,Houston Dest,Houston,TX,USA,America/Chicago,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
51,Houston Terminal,Houston,TX,USA,America/Chicago,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
52,Houston DC,Houston,TX,USA,America/Chicago,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
53,Nashville Origin,Nashville,TN,USA,America/Chicago,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
54,Nashville Dest,Nashville,TN,USA,America/Chicago,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
55,Nashville Terminal,Nashville,TN,USA,America/Chicago,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
56,Nashville DC,Nashville,TN,USA,America/Chicago,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
57,Charlotte Origin,Charlotte,NC,USA,America/New_York,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
58,Charlotte Dest,Charlotte,NC,USA,America/New_York,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
59,Charlotte Terminal,Charlotte,NC,USA,America/New_York,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
60,Charlotte DC,Charlotte,NC,USA,America/New_York,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
